,E007_Time[h],E007_6803_deltaKaiA3B3_rep1,E007_6803_deltaKaiA3B3_rep2,E007_6803_deltaKaiA3B3_rep3,E007_6803_deltaKaiA3B3_rep4,E007_6803_deltaKaiA3B3_rep5,E008_Time[h],E008_6803_deltaKaiA3B3_rep1,E008_6803_deltaKaiA3B3_rep2,E008_6803_deltaKaiA3B3_rep3,E008_6803_deltaKaiA3B3_rep4,E011_Time[h],E011_6803_deltaKaiA3B3_rep1,E011_6803_deltaKaiA3B3_rep2,E011_6803_deltaKaiA3B3_rep3,E011_6803_deltaKaiA3B3_rep4,E011_6803_deltaKaiA3B3_rep5
130,10.880277777777778,-2.3545635749197587,-1.660196310124897,-1.9344621221453444,-1.8184751104174777,-2.33862628591416,10.880555555555556,-2.648956708832229,-2.5542974071917417,-2.751659549711684,-2.674478882122267,10.880555555555556,-2.792636051868315,-2.9734068529017943,-3.00375819002217,-2.8010715813584524,-2.9422872811504224
131,10.96361111111111,-2.352630563446944,-1.6518803056943954,-1.9290175715646465,-1.8188585054059232,-2.340943429861814,10.963888888888889,-2.6468020752982104,-2.559126266127959,-2.7492306098130044,-2.6825867402277264,10.963888888888889,-2.7938110263152343,-2.992025972398788,-3.009396853740485,-2.806872394239112,-2.949416124541832
132,11.046944444444444,-2.3570354576594097,-1.6403938067407493,-1.9288771955979156,-1.8225201393881492,-2.344030420986537,11.047222222222222,-2.6418285701157087,-2.5634145236992256,-2.744174667251184,-2.68228743580094,11.047222222222222,-2.785115840430882,-3.0004483056231788,-3.017687648913705,-2.8144490351763043,-2.9460647157306217
133,11.130277777777778,-2.353778857684928,-1.6219363490125367,-1.9176408572560109,-1.8152584803855083,-2.342888220096526,11.130555555555556,-2.638236531435793,-2.5645619493440965,-2.7500923293484023,-2.6857813344087096,11.130555555555556,-2.778152138759706,-3.009475453946303,-3.01343277838943,-2.805602617005572,-2.9480352374763013
134,11.21361111111111,-2.3470613629645456,-1.6127074686321796,-1.907308420012929,-1.8160720004436623,-2.332117785808367,11.213888888888889,-2.644026297452553,-2.563768313983043,-2.750584202733222,-2.6884688015372564,11.213888888888889,-2.7717215618762188,-3.0063090132157693,-3.013834439767105,-2.804534250412265,-2.940729866810262
135,11.296944444444444,-2.3404835722525847,-1.595306702095944,-1.9020797478058056,-1.8159591756325844,-2.32452007454704,11.297222222222222,-2.6407982064030966,-2.5650333900184545,-2.7518508933405847,-2.685550202592219,11.297222222222222,-2.7678257463850047,-3.0067505737554567,-3.008294825398021,-2.807245043931544,-2.937350775035777
136,11.380277777777778,-2.333646083616646,-1.580733586273939,-1.889554705034913,-1.8117184860465576,-2.3208960405459105,11.380555555555556,-2.6475525965675533,-2.568356951334636,-2.755293006411814,-2.686625902898653,11.380555555555556,-2.7638663249207145,-3.011401720365517,-3.003616122385309,-2.803336103948378,-2.925900127727995
137,11.46361111111111,-2.332149494437602,-1.564587658410118,-1.8805331565636625,-1.7983484158041767,-2.3162466358467397,11.463888888888889,-2.647089806269069,-2.5599387732978127,-2.754311146494617,-2.690096267701031,11.463888888888889,-2.754044926148069,-3.009264032322373,-3.001800512583949,-2.7916085346975485,-2.9107800847339496
138,11.549722222222222,-2.3277944014096037,-1.5460684561222795,-1.8682149677186024,-1.7908474530483467,-2.309972810299675,11.547222222222222,-2.6438101738738125,-2.560178632756124,-2.7511059174430805,-2.686361662163245,11.547222222222222,-2.7429631747618552,-3.0059390833787214,-2.9962501726007646,-2.7794634382636425,-2.9017928001725526
139,11.633055555555556,-2.3223814005400745,-1.5321755174020637,-1.85500000428942,-1.7876140899462838,-2.304675511563259,11.633333333333333,-2.641514037790968,-2.5588763080396277,-2.745477922417675,-2.676422451368603,11.630833333333332,-2.7320226914869306,-3.0002284417635288,-2.9871672737944253,-2.7633019145810573,-2.8915404224345966
