,E007_Time[h],E007_6803_WT_rep1,E007_6803_WT_rep2,E007_6803_WT_rep3,E007_6803_WT_rep4,E007_6803_WT_rep5,E008_Time[h],E008_6803_WT_rep1,E008_6803_WT_rep2,E008_6803_WT_rep3,E008_6803_WT_rep4,E011_Time[h],E011_6803_WT_rep1,E011_6803_WT_rep2,E011_6803_WT_rep3,E011_6803_WT_rep4,E011_6803_WT_rep5
148,12.385833333333332,-1.800726874088589,-1.765705016357216,-1.8000361367072293,-1.786724600630102,-1.7488923263395333,12.383333333333333,-1.7950788263734618,-1.712975777899293,-1.7358853144806732,-1.7521504255183955,12.383333333333333,-2.556005032800144,-2.5968062872873494,-2.461585122409149,-2.6294723236527062,-2.556481350083413
149,12.469166666666666,-1.8232698376474068,-1.7837784121709883,-1.818017796968309,-1.812078311342146,-1.7702465086186547,12.469444444444443,-1.8286680273399656,-1.742341204476664,-1.761353448738209,-1.7878560681631257,12.466944444444444,-2.591278447439534,-2.6152244237646705,-2.473573500791636,-2.664004911018629,-2.591812107834432
150,12.5525,-1.84287607129444,-1.8057237765881655,-1.838665185150674,-1.8355170343030285,-1.7908768672155462,12.552777777777775,-1.866363918565738,-1.7836204228259172,-1.794124312110377,-1.8140944609118783,12.552777777777775,-2.6218768220538893,-2.6515715339444323,-2.498362493125099,-2.688684083942012,-2.6220584690776736
151,12.635833333333332,-1.8669429844158256,-1.8219385155537535,-1.8603756274031664,-1.85983796385585,-1.8055806774106056,12.636111111111113,-1.9041636139625897,-1.821610478664522,-1.8227950082187176,-1.85946246833292,12.636111111111113,-2.654797511645702,-2.685844930263552,-2.5115487022843537,-2.720306967731098,-2.649817767860536
152,12.719166666666666,-1.8830679937136745,-1.8408200422133296,-1.8827464574170665,-1.879838302176711,-1.8199552220056767,12.719444444444443,-1.9440642357706344,-1.8577084261450485,-1.8633626490777973,-1.8925569639477773,12.719444444444443,-2.682037879397217,-2.708041933334206,-2.523528740415312,-2.7380706964581387,-2.673487346480704
153,12.8025,-1.903448523206068,-1.8641657769130409,-1.9063750164260955,-1.905115259274712,-1.838797791324045,12.802777777777775,-1.9770629145582868,-1.892311327855168,-1.9030243550952035,-1.928574830231248,12.802777777777775,-2.7081952966704312,-2.7307598719438246,-2.5558992289349844,-2.758772412959396,-2.7042645554861497
154,12.885833333333332,-1.9300820042270617,-1.8833731471996036,-1.9254586532064144,-1.9246660529919524,-1.8551056832104384,12.886111111111113,-2.01055678922226,-1.925016254817652,-1.9321772550715477,-1.9557129586113908,12.886111111111113,-2.726467143007096,-2.754196083055097,-2.555256798531476,-2.7818092688351403,-2.731146753675133
155,12.969166666666666,-1.9515658754266807,-1.8974395878203052,-1.945994724076624,-1.948687909003535,-1.8790762030310315,12.969444444444443,-2.0433430069875707,-1.95362028649037,-1.9688184862004616,-1.9873682494695344,12.969444444444443,-2.749450806128715,-2.789147911805965,-2.57959808916399,-2.802778424449649,-2.7549313080962
156,13.0525,-1.974497582770924,-1.919362540723004,-1.966580592897765,-1.96157806081756,-1.904306663673438,13.052777777777775,-2.071218723407534,-1.986520510766296,-2.0055451940686044,-2.0147376121402707,13.052777777777775,-2.7743436819365432,-2.8122127115096296,-2.581919750062826,-2.822877048931212,-2.778215594048184
157,13.135833333333332,-1.992874579541763,-1.937539455056126,-1.9838136310733196,-1.976733749775129,-1.932394385546718,13.136111111111113,-2.1017811023637685,-2.020514023973501,-2.0459545326556547,-2.04801796491146,13.136111111111113,-2.7967431745115894,-2.8389878436545457,-2.605418439729383,-2.846302320172125,-2.8053969950802045
