,E007_Time[h],E007_6803_deltaKaiC3_rep1,E007_6803_deltaKaiC3_rep2,E007_6803_deltaKaiC3_rep3,E007_6803_deltaKaiC3_rep4,E007_6803_deltaKaiC3_rep5,E008_Time[h],E008_6803_deltaKaiC3_rep1,E008_6803_deltaKaiC3_rep2,E008_6803_deltaKaiC3_rep3,E008_6803_deltaKaiC3_rep4,E011_Time[h],E011_6803_deltaKaiC3_rep1,E011_6803_deltaKaiC3_rep2,E011_6803_deltaKaiC3_rep3,E011_6803_deltaKaiC3_rep4,E011_6803_deltaKaiC3_rep5
126,10.544166666666666,-2.106429961523049,-2.094768623884519,-1.9742518721743,-2.0057316238069864,-1.9821380743426529,10.544444444444444,-2.5978457743608754,-2.578066748636985,-2.410375868673507,-2.601375226709224,10.544444444444444,-3.1612783691933197,-3.337251050154268,-3.1810117070947364,-3.0099396586214446,-3.08403203173888
127,10.6275,-2.122004148845595,-2.107146297046648,-1.9869386298047984,-2.0284290469879447,-1.9956380114568677,10.627777777777778,-2.620455171868412,-2.5884575233442377,-2.4193165780884045,-2.619882813969941,10.627777777777778,-3.177314639545857,-3.358182551429856,-3.20322659745393,-3.0282880353450192,-3.0957973390836604
128,10.71361111111111,-2.1434431398167737,-2.121559114654469,-2.0108859379601443,-2.0443722599048884,-2.0032089649379725,10.71111111111111,-2.637728162606999,-2.602123111882416,-2.43319016301695,-2.6316686092451755,10.71111111111111,-3.191111113132057,-3.3775597270068323,-3.2220041422704573,-3.0418035665594747,-3.057718378734237
129,10.796944444444444,-2.155346881832955,-2.1376070760813803,-2.0138939931629967,-2.0607614069827447,-2.013250749254337,10.797222222222222,-2.646264695263104,-2.607463219240088,-2.43459576269495,-2.6349323630794137,10.79472222222222,-3.2014694320669586,-3.399984983794585,-3.2391457498076277,-3.055487930000731,-3.0709968080609764
130,10.880277777777778,-2.165515323061616,-2.148090181599972,-2.029962991698644,-2.077396632863839,-2.0223631799820843,10.880555555555556,-2.6558647195226115,-2.6170775519484897,-2.4381325197242023,-2.640073827413814,10.880555555555556,-3.211991234403049,-3.417460722925777,-3.255252825069899,-3.0731427992705247,-3.0806342802575584
131,10.96361111111111,-2.1739484124413395,-2.150008432382024,-2.0446931296150104,-2.090678082407898,-2.0357460738050897,10.963888888888889,-2.660728186070826,-2.629565818081521,-2.436399580072495,-2.6450927555862105,10.963888888888889,-3.219478154130266,-3.428189339756345,-3.272526769802878,-3.0777698438364007,-3.091232444340986
132,11.046944444444444,-2.1844460996818147,-2.154761830498514,-2.053284602722649,-2.103605900692048,-2.042799248514981,11.047222222222222,-2.6590550465924734,-2.6421277272557515,-2.4383960930736044,-2.649188902331108,11.047222222222222,-3.222131821175994,-3.440573223865501,-3.28256898249332,-3.0853707290317205,-3.096192945151577
133,11.130277777777778,-2.189008335263837,-2.1647503789196083,-2.0619376065947472,-2.119780233010814,-2.0469225230111423,11.130555555555556,-2.6674452537716977,-2.6497629906304168,-2.4457212114272964,-2.650562023779685,11.130555555555556,-3.2273538614050694,-3.4398147590557318,-3.2911808583691267,-3.082747116055655,-3.11111742335297
134,11.21361111111111,-2.190835070439308,-2.169774081514665,-2.0730523365671223,-2.1260012248761253,-2.045715717300707,11.213888888888889,-2.6650987612920627,-2.659671320907419,-2.441574091199329,-2.6520118774597927,11.213888888888889,-3.225345896619776,-3.449316323352796,-3.2969637893993498,-3.0829006619731905,-3.1126075154321238
135,11.296944444444444,-2.193126257231234,-2.1778329430522376,-2.070428987738226,-2.1254690220173056,-2.052578652498564,11.297222222222222,-2.6726155238365528,-2.657852432331329,-2.441353891821449,-2.654338222295955,11.297222222222222,-3.223509544559847,-3.446280289005727,-3.296519164294187,-3.079233019715123,-3.1086648536993096
136,11.380277777777778,-2.20448184843373,-2.180926969200068,-2.078667754969141,-2.131983770381082,-2.0501111508273557,11.380555555555556,-2.671795497087572,-2.663106040689384,-2.4304597760913937,-2.663140818609369,11.380555555555556,-3.220246418902465,-3.447309022486837,-3.3016483685049858,-3.078745838078066,-3.1038910662881225
137,11.46361111111111,-2.2059017976120128,-2.184456166525095,-2.083968832883582,-2.138145616131581,-2.0497130356174758,11.463888888888889,-2.6678386377269434,-2.659631863311488,-2.424290910172889,-2.673419428117904,11.463888888888889,-3.2179581292622617,-3.449004884491708,-3.303952784224241,-3.069240761724441,-3.113087777155475
