,E007_Time[h],E007_6803_deltaKaiB3C3_rep1,E007_6803_deltaKaiB3C3_rep2,E007_6803_deltaKaiB3C3_rep3,E007_6803_deltaKaiB3C3_rep4,E007_6803_deltaKaiB3C3_rep5,E008_Time[h],E008_6803_deltaKaiB3C3_rep1,E008_6803_deltaKaiB3C3_rep2,E008_6803_deltaKaiB3C3_rep3,E008_6803_deltaKaiB3C3_rep4,E011_Time[h],E011_6803_deltaKaiB3C3_rep1,E011_6803_deltaKaiB3C3_rep2,E011_6803_deltaKaiB3C3_rep3,E011_6803_deltaKaiB3C3_rep4,E011_6803_deltaKaiB3C3_rep5
133,11.130277777777778,-2.1692998432294788,-2.1908551884440106,-2.115315279498853,-2.08017348364354,-2.1053067919488595,11.130555555555556,-2.381705182067544,-2.412073167079855,-2.312616134205311,-2.011028693574872,11.130555555555556,-2.394823445033522,-3.0223639065692574,-2.767587970272082,-3.0717412387986927,-3.076843387524858
134,11.21361111111111,-2.1707129381283665,-2.1909679115665104,-2.1092852274874585,-2.076385831511097,-2.1026413801847625,11.213888888888889,-2.3837713886807808,-2.4173489273513216,-2.306110924510861,-2.010215777479792,11.213888888888889,-2.3941170329780714,-3.01745315052903,-2.756456151089877,-3.06562924408848,-3.082449591142893
135,11.296944444444444,-2.176123485468179,-2.197017981055849,-2.097447361663364,-2.074229971078295,-2.10179612344842,11.297222222222222,-2.3893168659912294,-2.4227052767606896,-2.303681907636598,-2.0143103166903518,11.297222222222222,-2.394181130064306,-3.00771768921156,-2.746186523695264,-3.0578789638932333,-3.074182034191689
136,11.380277777777778,-2.179731810173213,-2.2012048722075748,-2.090201987925086,-2.064506608171089,-2.094371111380524,11.380555555555556,-2.394541407259746,-2.4219419386060155,-2.303928851513727,-2.0185107648362943,11.380555555555556,-2.396017439116077,-2.9957590825435823,-2.740580418388217,-3.0496925766779803,-3.0660425480769504
137,11.46361111111111,-2.172138237265532,-2.2131280618953566,-2.0891494122141494,-2.053016446923684,-2.0841664341766566,11.463888888888889,-2.3944448071677957,-2.4280586378734683,-2.3052515254388157,-2.016615579556881,11.463888888888889,-2.3890276586804027,-2.99037888650545,-2.735839161158257,-3.0386722548133216,-3.054232959848598
138,11.549722222222222,-2.1627430918649635,-2.2125870285709848,-2.0820899405150883,-2.038760189778532,-2.07978218258729,11.547222222222222,-2.398226861817445,-2.4248551012373323,-2.2964497000737896,-2.0080232225008845,11.547222222222222,-2.370213483027473,-2.9821786531311334,-2.724764073684443,-3.028020164575431,-3.042555092200762
139,11.633055555555556,-2.161546699189101,-2.213181252264371,-2.083223878855449,-2.029138537486335,-2.06461844791779,11.633333333333333,-2.3946873687313737,-2.417731057060005,-2.2891231474459386,-2.0103321593265964,11.630833333333332,-2.3557766021506463,-2.9629599305082204,-2.709156473335377,-3.01133846614606,-3.025010763471785
140,11.716388888888888,-2.1579493845533038,-2.210710214583548,-2.076951533305783,-2.014752189106041,-2.054475322028412,11.716666666666669,-2.3912261268528647,-2.4160862353919947,-2.2820716409479127,-2.005740859701822,11.716666666666669,-2.3397187017664507,-2.9435242627779115,-2.689217673169205,-2.9932293136125336,-3.010801787644225
141,11.799722222222222,-2.1545514733706925,-2.208773398714672,-2.062473209979654,-2.0072018420048505,-2.043152897334303,11.8,-2.386842936545809,-2.4031203679719293,-2.269094955337723,-1.990047797303884,11.8,-2.332641463314582,-2.9276731901350264,-2.6821489819336106,-2.9848948549677514,-2.993329974344853
142,11.883055555555556,-2.1465532911521588,-2.2061702894220154,-2.0503892150336345,-1.9894881918582097,-2.0324512668055004,11.883333333333333,-2.3961375995947054,-2.389433188226546,-2.2573928667387406,-1.9792514498196183,11.883333333333333,-2.316546563957909,-2.920608248828,-2.674951704065822,-2.958737232110188,-2.9749971288446506
143,11.966388888888888,-2.136955163506353,-2.2077003730479787,-2.0396998546673064,-1.976011932649814,-2.021370523966933,11.966666666666669,-2.3891099192046585,-2.374824431270698,-2.242565152639699,-1.967350298945379,11.966666666666669,-2.2928356765824685,-2.897930971158884,-2.655627139692609,-2.9369585808438927,-2.9558050520588157
144,12.049722222222222,-2.125957416139695,-2.20636313751308,-2.0264054351232605,-1.959173756671609,-2.008710762898421,12.05,-2.382159700001381,-2.356293833907352,-2.2284115918946927,-1.9563428303870327,12.05,-2.276510469797464,-2.8710428854833463,-2.629176584630284,-2.91116103087849,-2.935155540546756
145,12.133055555555556,-2.113760374856368,-2.2109580723159583,-2.013506262687096,-1.9387743545237863,-1.9980720782346768,12.133333333333333,-2.370286748031193,-2.336041134627588,-2.213331964723176,-1.944227533859964,12.133333333333333,-2.2517726079352727,-2.849745516210673,-2.6120013303846976,-2.886946705829178,-2.9086503865120927
146,12.216388888888888,-2.091364365558319,-2.218684668533376,-1.998802643687424,-1.914814415114788,-1.9800545651653012,12.216666666666669,-2.352890870761022,-2.3218660736106007,-2.197926052709966,-1.9266029030890717,12.216666666666669,-2.2320237510514387,-2.826240383803764,-2.5937026641512477,-2.8545177232167305,-2.881691377802664
147,12.299722222222222,-2.077769714245264,-2.206142418820214,-1.9800948844958617,-1.889094625661304,-1.9600583194347885,12.3,-2.3339718770783997,-2.3019683927236985,-2.17679363880524,-1.9068674358087687,12.3,-2.1980655549246766,-2.797929004779138,-2.572081868814868,-2.8228761944674963,-2.858280297910514
148,12.385833333333332,-2.0583767470146785,-2.195530817409479,-1.9657832915270372,-1.8662156716882723,-1.9420834373425224,12.383333333333333,-2.3183295772914665,-2.283347835522303,-2.1509345073245365,-1.892619633762988,12.383333333333333,-2.1744996710568705,-2.769612891706928,-2.549940222950038,-2.792624224913399,-2.835418925971908
149,12.469166666666666,-2.0439857900618077,-2.178649360112296,-1.947668171238589,-1.8455782370288805,-1.9207300157427776,12.469444444444443,-2.296363783128971,-2.26200414724995,-2.128748443948755,-1.871058002705174,12.466944444444444,-2.1595277466730742,-2.731093553210883,-2.526879000820778,-2.7601639137919367,-2.804109036767316
