,E007_Time[h],E007_6803_deltaKaiA3C3_rep1,E007_6803_deltaKaiA3C3_rep2,E007_6803_deltaKaiA3C3_rep3,E007_6803_deltaKaiA3C3_rep4,E007_6803_deltaKaiA3C3_rep5,E008_Time[h],E008_6803_deltaKaiA3C3_rep1,E008_6803_deltaKaiA3C3_rep2,E008_6803_deltaKaiA3C3_rep3,E008_6803_deltaKaiA3C3_rep4,E011_Time[h],E011_6803_deltaKaiA3C3_rep1,E011_6803_deltaKaiA3C3_rep2,E011_6803_deltaKaiA3C3_rep3,E011_6803_deltaKaiA3C3_rep4,E011_6803_deltaKaiA3C3_rep5
124,10.3775,-2.3792365848519523,-2.4006601114763324,-2.334135450924584,-2.369644189236812,-2.3403020792999985,10.377777777777778,-2.394727471672189,-2.4600951896136163,-2.3573501374381216,-2.001370052943228,10.377777777777778,-4.441364442355475,-3.2155928211327858,-3.3434871297175874,-3.325749161367769,-3.34953844852338
125,10.460833333333332,-2.40388574175522,-2.422052937238299,-2.360522851496365,-2.3879259168950364,-2.359582326523304,10.46111111111111,-2.412554913394004,-2.478095476880122,-2.377421508598002,-2.040584329559548,10.46111111111111,-4.4865469057682725,-3.236101946036876,-3.356974126670228,-3.340716318979313,-3.361289136851723
126,10.544166666666666,-2.423981733843739,-2.43805392942945,-2.386917538839835,-2.399468459525885,-2.398822284136311,10.544444444444444,-2.4249504212046844,-2.498883511641165,-2.388101752585276,-2.0431535500228493,10.544444444444444,-4.530983620289906,-3.245236755578081,-3.371856513742463,-3.354675480435644,-3.3764136895702923
127,10.6275,-2.443724558098716,-2.4432632985059777,-2.408718483539313,-2.41287177715129,-2.4024211223840406,10.627777777777778,-2.4387147188556195,-2.518059867221836,-2.409191231299735,-2.058877606323171,10.627777777777778,-4.565677260868897,-3.2537985274332666,-3.386935880788978,-3.3616281883813808,-3.386313664088652
128,10.71361111111111,-2.4519142123052227,-2.458281255184553,-2.430924659153981,-2.4223358306005496,-2.4083780139684823,10.71111111111111,-2.4544485288656963,-2.530625116153205,-2.421890306408598,-2.0763563905738627,10.71111111111111,-4.599030494503733,-3.2567885359687807,-3.397413813564321,-3.363775981522798,-3.378990613977308
129,10.796944444444444,-2.4667506950521925,-2.468908010442323,-2.442735042217882,-2.43726058151033,-2.4056921340485955,10.797222222222222,-2.474152572521304,-2.544779830172321,-2.429999339346508,-2.0889897950115834,10.79472222222222,-4.634845980242862,-3.2618080522404505,-3.399891893722905,-3.370920394627829,-3.3920460889677067
130,10.880277777777778,-2.478634005732425,-2.480543775516911,-2.457748612239917,-2.4412459923246628,-2.423962660240308,10.880555555555556,-2.473827569876329,-2.5581245802222106,-2.4395186913155347,-2.0873777119963064,10.880555555555556,-4.668126369184695,-3.261858343993583,-3.4063716988190054,-3.369862958526062,-3.4038816349522376
131,10.96361111111111,-2.490964144542583,-2.48798876190642,-2.4775643517038537,-2.456692026294948,-2.4335887726165133,10.963888888888889,-2.4772742397521608,-2.5614599364518784,-2.443648723285176,-2.125720034011314,10.963888888888889,-4.706474304477605,-3.266940675662968,-3.4092548023067595,-3.368405200108743,-3.411298793984232
132,11.046944444444444,-2.4987411124831915,-2.493443181369428,-2.489581246068316,-2.459198647479952,-2.43096965370708,11.047222222222222,-2.478293299737685,-2.565186468216309,-2.4561897959923504,-2.1274166536632,11.047222222222222,-4.728492421319928,-3.272456308372873,-3.406742773540169,-3.371748642328776,-3.416699104277962
133,11.130277777777778,-2.509564911358642,-2.4831072459249928,-2.5017982837667887,-2.459565820745807,-2.4417044884988384,11.130555555555556,-2.4862854661892904,-2.5743047440764637,-2.470142269941409,-2.13106746368187,11.130555555555556,-4.757183346959961,-3.2728064999370465,-3.4004371777731,-3.3694948042007207,-3.425884100208642
134,11.21361111111111,-2.513235543777187,-2.4829811678526483,-2.5148144562076213,-2.458593511766013,-2.450192464435594,11.213888888888889,-2.491051454230864,-2.581815331799281,-2.4815065054041243,-2.1330723569205405,11.213888888888889,-4.780549700695964,-3.2727925048587165,-3.3979395761592794,-3.3632452008007943,-3.425655312312428
135,11.296944444444444,-2.5153530131509445,-2.477465159692407,-2.5244287577740225,-2.4606816870214376,-2.4382327714181184,11.297222222222222,-2.4983919777537924,-2.58631879835768,-2.4890828624196963,-2.120431226355739,11.297222222222222,-4.798394093876164,-3.2568155743305938,-3.3888515257523,-3.347401343266871,-3.4118142672864167
136,11.380277777777778,-2.5165173236958944,-2.472359434244758,-2.535640185824061,-2.4664303138003145,-2.428224601804152,11.380555555555556,-2.517107749416963,-2.594615709930556,-2.4936717007947515,-2.1223439650873037,11.380555555555556,-4.822519129898743,-3.238676956234866,-3.3803745795056157,-3.333964738798483,-3.4091624879886475
137,11.46361111111111,-2.513128480431884,-2.468864204570667,-2.540647740690668,-2.462239360198243,-2.419567150408401,11.463888888888889,-2.5215994806467625,-2.589906631902786,-2.5018733801033437,-2.119410466338384,11.463888888888889,-4.8339274042118525,-3.226577895143203,-3.369510286272544,-3.325136890656818,-3.411301493438102
138,11.549722222222222,-2.5177864891826207,-2.463579683991579,-2.545650425681634,-2.45350879511819,-2.4108596145025487,11.547222222222222,-2.520667881637078,-2.591992128865222,-2.501288259686949,-2.0914306234554423,11.547222222222222,-4.849421504313603,-3.2159196323167545,-3.357260190806268,-3.311119298164721,-3.386832798814701
139,11.633055555555556,-2.511091356575677,-2.4605060860894143,-2.551647247079612,-2.440838588270492,-2.391701193815239,11.633333333333333,-2.5217136613492945,-2.5894727646146958,-2.4997166986544714,-2.07360432990825,11.630833333333332,-4.863804009752065,-3.200703405706151,-3.33882583375983,-3.2937134567066946,-3.378357915459309
140,11.716388888888888,-2.5082430900424906,-2.453443624706573,-2.546637214142116,-2.4318287101728497,-2.372891090532088,11.716666666666669,-2.5147375275123003,-2.582949102154016,-2.489559055882244,-2.059531479289891,11.716666666666669,-4.860877492125276,-3.1871304499515025,-3.319608751686141,-3.272120857728897,-3.359278350873732
