,E007_Time[h],E007_6803_deltaKaiA3B3C3_rep1,E007_6803_deltaKaiA3B3C3_rep2,E007_6803_deltaKaiA3B3C3_rep3,E007_6803_deltaKaiA3B3C3_rep4,E007_6803_deltaKaiA3B3C3_rep5,E008_Time[h],E008_6803_deltaKaiA3B3C3_rep1,E008_6803_deltaKaiA3B3C3_rep2,E008_6803_deltaKaiA3B3C3_rep3,E008_6803_deltaKaiA3B3C3_rep4
753,62.969166666666666,0.0725246248803357,0.1328916378491968,0.2152462666439623,0.0811308968192776,0.1568992415645957,62.96944444444444,0.4746324497289391,0.0898654766143611,0.2344421581096785,0.3470428880086486
754,63.0525,0.0877862140865601,0.1513069302489273,0.2307267678824177,0.092315411269762,0.1676688655481613,63.05277777777778,0.4943425933245521,0.1016770567766409,0.2482696443097845,0.35718217337691
755,63.13583333333333,0.0886774295807645,0.1667283149979775,0.2438339827613753,0.0967146543263385,0.1750548422477519,63.13611111111111,0.5367096529352933,0.1160877496882515,0.2616770872134439,0.3637217330742267
756,63.219166666666666,0.0945975445739133,0.1725554122480523,0.2491675568918662,0.1181280940332175,0.1866567270982196,63.21944444444444,0.5565331015086145,0.1336969774937356,0.2794643511949446,0.3772613637607136
757,63.3025,0.1069458301237095,0.1833878415417499,0.2633271351270831,0.1341551972102986,0.1974740745354379,63.30277777777778,0.5824124100200538,0.1453041610337207,0.2906313013476731,0.3932008624568802
758,63.38861111111111,0.1137215551345956,0.1860252218125592,0.2729123615623813,0.1495954294531731,0.2029064379962986,63.38611111111111,0.6127470474732377,0.1593087198449334,0.3009778034841165,0.3975400265436362
759,63.47194444444444,0.1263239863577535,0.1950671713848615,0.2801228795352732,0.1588482551331214,0.2077533699187174,63.47222222222222,0.6007364808998762,0.1739100721601901,0.314303724135859,0.4124786537622892
760,63.555277777777775,0.1381523883911017,0.2075133079739285,0.2843583316254364,0.1645131373971157,0.2146144217416267,63.55555555555555,0.6063801753597636,0.1837076349084007,0.3234089305535859,0.4266165422145419
761,63.63861111111111,0.1446060236792992,0.2233632486859253,0.2916183596547034,0.1727895381678224,0.2278891439049832,63.638888888888886,0.6308775939407838,0.1879008237145704,0.3348932907070796,0.437353490362499
762,63.72194444444444,0.1518841525137434,0.235816610017906,0.2973026046870722,0.1784769181435894,0.2335770858497623,63.72222222222222,0.6312281977589033,0.1952890528997919,0.3503566732852208,0.4398892970286609
763,63.805277777777775,0.1575860330325712,0.252473007857819,0.3090107070286977,0.191374736798461,0.2472777960179613,63.80555555555555,0.6356314459581746,0.2000717354812546,0.3525989476959885,0.4454237613959278
764,63.88861111111111,0.1625109212206569,0.2601320574845042,0.3223423062278993,0.1970824523821722,0.2563908218525965,63.888888888888886,0.6604867957107377,0.2088482831722397,0.3604199840664646,0.4541566830075939
765,63.97194444444444,0.1670580709096139,0.2737933735676902,0.3268970410751523,0.2117995219201447,0.2657157097977077,63.97222222222222,0.6661937022168184,0.2164181063821227,0.3656196532428246,0.4668878617673541
766,64.05527777777777,0.1754267337777957,0.2884565701680001,0.3310745496030983,0.2223254012134947,0.2734520052983519,64.05555555555556,0.7025516187047254,0.2197806142163731,0.3763978267903449,0.4726170979393023
767,64.1386111111111,0.1884161593502954,0.3021212607369475,0.3400744690865348,0.2306595448390266,0.2853992528006095,64.13888888888889,0.6885599964308563,0.2283352144765477,0.3869543769934022,0.4797441921479289
768,64.22472222222223,0.193225594998941,0.314187058116938,0.3524964360424211,0.242801406149236,0.2947569957515808,64.22222222222221,0.7244182846796924,0.2386813136603016,0.3930891768554691,0.4798689453781215
769,64.30805555555555,0.1998542859423024,0.3212535745412661,0.3595400862298765,0.2525504372723089,0.3081247765993866,64.30833333333334,0.7357259307638015,0.2460183169613797,0.4038021000991169,0.4875911589751668
770,64.39138888888888,0.2063014752456876,0.3311204216341239,0.3666050546501843,0.259706089112122,0.3115021367931681,64.39166666666667,0.7026823800238391,0.2589456282696208,0.4156930211660186,0.4961106346447481
771,64.47472222222223,0.2127664038211422,0.3375872104105892,0.3770909755467845,0.2720678113482433,0.3264886167830881,64.475,0.697687075828543,0.2626626501709584,0.4299618152169431,0.5124271744529496
772,64.55805555555555,0.2078483104274544,0.3458535512766341,0.3799974824052787,0.2926350524359288,0.3316837560203286,64.55833333333334,0.7215394595747388,0.2805687839474158,0.4388083581317594,0.5121405808262496
773,64.64138888888888,0.2125464316701492,0.3579190540291219,0.3837242079534302,0.2968072596061274,0.3342870929570948,64.64166666666667,0.6938389706873352,0.2920634295771127,0.4582325265094367,0.5164506565515276
774,64.72472222222223,0.2202600020014863,0.3681833278558096,0.3842707841611615,0.3093838788654757,0.3420981650466107,64.725,0.7249850466193324,0.2979459857342554,0.4696341976680387,0.5225572047760582
